London,369766,London - Barking & Dagenham,369664,Silvertown,,,London Borough - Barking and Dagenham
London,369767,London - Barnet,369008,Coldstream,,,London Borough - Barnet
London,369767,London - Barnet,369489,East Finchley,,,London Borough - Barnet
London,369767,London - Barnet,369447,Finchley,,,London Borough - Barnet
London,369767,London - Barnet,369490,Friern Barnet,,,London Borough - Barnet
London,369767,London - Barnet,369491,Golders Green,,,London Borough - Barnet
London,369768,London - Bexley,369439,Blackfen,,,London Borough - Bexley
London,369768,London - Bexley,369369,Thamesmead,,,London Borough - Bexley
London,369769,London - Brent,369690,Harlesden,,,London Borough - Brent
London,369769,London - Brent,369533,Willesden,,,London Borough - Brent
London,369770,London - Bromley,369360,Mottingham,,,London Borough - Bromley
London,369770,London - Bromley,369364,Penge,,,London Borough - Bromley
London,369771,London - Camden,369658,Kentish Town,,,London Borough - Camden
London,369771,London - Camden,369652,Tufnell Park,,,London Borough - Camden
London,369772,London - City of London,369450,London City,,,London Borough - City of London
London,369773,London - City of Westminster,369576,Marylebone,,,London Borough - City of Westminster
London,369774,London - Croydon,369428,Sanderstead,,,London Borough - Croydon
London,369775,London - Ealing,369445,Ealing,,,London Borough - Ealing
London,369775,London - Ealing,369530,Hanwell,,,London Borough - Ealing
London,369776,London - Enfield,369680,Palmers Green,,,London Borough - Enfield
London,369776,London - Enfield,369644,Par,,,London Borough - Enfield
London,369777,London - Greenwich,369348,Abbey Wood,,,London Borough - Greenwich
London,369777,London - Greenwich,369365,Plumstead,,,London Borough - Greenwich
London,369778,London - Hackney,369451,Stoke Newington,,,London Borough - Hackney
London,369779,London - Hammersmith and Fulham,369594,Fulham,,,London Borough - Hammersmith and Fulham
London,369779,London - Hammersmith and Fulham,369529,Hammersmith,,,London Borough - Hammersmith and Fulham
London,369779,London - Hammersmith and Fulham,369532,Shepherds Bush,,,London Borough - Hammersmith and Fulham
London,369780,London - Haringay,369649,Finsbury Park,,,London Borough - Haringay
London,369780,London - Haringay,369650,Harringay,,,London Borough - Haringay
London,369780,London - Haringay,369651,Hornsey,,,London Borough - Haringay
London,369780,London - Haringay,369653,Wood Green,,,London Borough - Haringay
London,369781,London - Haringey,369493,Muswell Hill,,,London Borough - Haringay
London,369782,London - Harrow,369454,Harrow Weald,,,London Borough - Harrow
London,369783,London - Havering,369581,Ardleigh Green,,,London Borough - Havering
London,369784,London - Hillingdon,369661,Hayes (Middx),,,London Borough - Hillingdon
London,369784,London - Hillingdon,369455,Hillingdon,,,London Borough - Hillingdon
London,369785,London - Hounslow,369420,Ashford (Middx),,,London Borough - Hounslow
London,369785,London - Hounslow,369531,Heston,,,London Borough - Hounslow
London,369786,London - Kingston,369408,Tolworth,,,London Borough  - Kingston upon Thames
London,369787,London - Lambeth,369357,Herne Hill,,,London Borough - Lambeth
London,369787,London - Lambeth,369358,Kennington,,,London Borough - Lambeth
London,369787,London - Lambeth,369359,Lambeth,,,London Borough - Lambeth
London,369787,London - Lambeth,369368,Streatham,,,London Borough - Lambeth
London,369788,London - Lewisham,369361,New Cross,,,London Borough - Lewisham
London,369789,London - Merton,369421,Raynes Park,,,London Borough - Merton
London,369790,London - Newham,369446,East Ham,,,London Borough  - Newham
London,369790,London - Newham,369448,Forest Gate,,,London Borough  - Newham
London,369790,London - Newham,369452,West Ham,,,London Borough  - Newham
London,369791,London - Redbridge,369383,Goodmayes,,,London Borough - Redbridge,,,,,
London,369791,London - Redbridge,369378,Hainault,,,London Borough - Redbridge,,,,,
London,369791,London - Redbridge,369380,Seven Kings,,,London Borough - Redbridge,,,,,
London,369791,London - Redbridge,369382,Wanstead,,,London Borough - Redbridge,,,,,
London,369792,London - Southwark,369363,Peckham,,,London Borough - Southwark,,,,,
London,369792,London - Southwark,369366,Rotherhithe,,,London Borough - Southwark,,,,,
London,369792,London - Southwark,369367,Southwark,,,London Borough - Southwark,,,,,369744
London,369792,London - Southwark,369744,Southwark (London),,,London Borough - Southwark,,,,,
London,369793,London - Tower Hamlets,369663,Wapping,,,London Borough - Tower Hamlets,,,,,
London,369793,London - Tower Hamlets,369561,Whitechapel,,,London Borough - Tower Hamlets,,,,,
London,369794,London - Waltham Forest,369449,Leyton Leytonstone,,,London Borough - Waltham Forest,,,,,
London,369794,London - Waltham Forest,369381,Walthamstow,,,London Borough - Waltham Forest,,,,,
London,369795,London - Wandsworth,369423,Roehampton,,,London Borough - Wandsworth,,,,,
London,369795,London - Wandsworth,369598,Southfields,,,London Borough - Wandsworth,,,,,
London,369795,London - Wandsworth,369370,Tooting,,,London Borough - Wandsworth,,,,,
London,369795,London - Wandsworth,369371,Wandsworth,,,London Borough - Wandsworth,,,,,
London,369796,London - Westminister,369577,St Johns Wood,,,London Borough  - City of Westminister
London,369796,London - Westminister,369659,Westminister (London),,,London Borough  - City of Westminister
