76985, BBC Hereford & Worcester                                                              
75443,100-102 Today FM
75274,106.8 Country Mix
69072,Accountancy Ireland
75355,An Cosantoir
69127,Archaeology Ireland
75334,Architecture Ireland
82547,Athlone Advertiser
75148,Athlone Topic
81234,Avondhu
81167,Beat 102-103
75356,Books Ireland
70888,British Journal of Urology International
75325,Business Ireland
69076,Business Ireland
75428,Business Travel
75457,C 103
69130,Cara
75434,Catholic Herald & Standard
77263,Central Bank of Ireland & Financial Services Authority of Ireland Bulletin
75329,Checkout Ireland
80648,CIRCA
82090,City & Town Magazine
81171,City Channel
75419,Clar Na Nog
75454,Clare FM
75589,CMS Magazine
77176,Coin-Op News Europe
81801,Commercial Interiors of Ireland
69103,Commercial Law Practitioner
84048,Commercial Property & Interiors
81168,Community Radio Castlebar
75556,CompuSchool Magazine
82085,Computers in Business
69091,ComputerScope
69119,Connacht Tribune
75388,Connaught Telegraph
69125,Consumer Choice
82257,CorkNow
75456,Cork's 96 FM
81925,Creative Head Ireland
75422,Cyphers
69086,Dairy & Food Industries Magazine
69081,DairyNews
82400,Dermot's Blog
73456,Derry News
75370,Derry People & Donegal News
75432,Doctrine & Life
83529,Donegal Democrat
80613,Donegal Democrat
75371,Donegal People's Press
82632,Dow Jones Newswires - Dublin
83737,Drivetime
75386,Drogheda Independent
75446,Dublin's 98 FM
75387,Dundalk Democrat
82369,Dundrum Town Centre Magazine
75401,Dungarvan Leader & Southern Democrat
75402,Dungarvan Observer
75453,East Coast FM
81453,Easy Food
69100,Education
80876,ElectricNews.net
81612,Electronics Components World
77495,Emigrant Online
69104,Employment Law Reports
81432,Environment & Energy Management
75349,Environmental Management Ireland
81437,Enviro-Solutions News Update
75537,EuroTimes
69117,Evening Echo
75359,Evening Herald
75424,Film Ireland
69116,Financial Times - Dublin
75600,Fingal Independent
75447,FM 104
80682,Foinse
69083,Food & Drink Business Europe
75417,Food & Wine Magazine
69084,Food Ireland
69096,Futura
75372,Galway Advertiser
75592,Galway Bay FM
80858,Galway Independent
82256,GalwayNow
75353,Garda News
75354,Garda Review
75436,Gay Community News
82223,Gazette Group
82025,gsmExchange.com
77256,Health & Safety Review
75340,Hermathena
77178,High Ball
75462,Highland Radio
69133,Hogan Stand
81169,Hospital Doctor of Ireland
81896,Hospitality Ireland
69129,Hot Press
69088,Hotel & Catering Review
81803,Hotel and Restaurant Times
72995,House & Home
81840,House and Home
69074,IBEC News
75323,IBOA News
75415,IMAGE
75337,IMJ - Irish Marketing & Advertising Journal
75324,IMPACT News
75427,In Dublin
75339,In Touch
77201,Independent Network News
81181,Inishowen Community Radio
77496,International Living
75332,IPU Review
75431,Ireland Afloat
81868,Ireland AM
75365,Ireland International News Agency
75425,Ireland of the Welcomes
75411,Irelands Own
75416,Irish Brides
69071,Irish Broker
81078,Irish Computer
82018,Irish Daily Mail
73608,Irish Daily Mirror
75358,Irish Daily Star
69090,Irish Electrical Review
75246,Irish Electrical Review Retail
69135,Irish Greyhound Review
69110,Irish Hardware
75357,Irish Independent
81799,Irish Interiors
69101,Irish Law Times & Solicitors' Journal
75360,Irish Mail on Sunday
75344,Irish Medical News
69105,Irish Medical Times
69128,Irish Music
75421,Irish People
69102,Irish Planning and Environmental Law Journal
69097,Irish Printer
75430,Irish Racing Calendar & Form Book
69136,Irish Rugby Review
69137,Irish Runner
69122,Irish Tatler Magazine
69142,Irish Theological Quarterly
75336,Irish Travel Trade News
69107,Irish Veterinary Journal
69085,Irishfood Magazine
81934,iVenus.com
75374,Kerry's Eye
75445,KFM Radio
75376,Kildare Nationalist
75377,Kildare Times
82546,Kilkenny Advertiser
69120,Kilkenny People
81173,Killarney Advertiser
75059,Kiss
75341,Law Society Gazette
75379,Leinster Express Series
75378,Leinster Leader
75380,Leitrim Observer
69087,Licensing World
83714,Life! with Orla Barry
81174,Liffey Champion
75381,Limerick Leader & Chronicle Series
75382,Limerick Post
82255,LimerickNow
75459,Live 95 FM
83736,Liveline
