547, Travel , Abroad                                                      ,Travel,
331, Tourism & Travel , Accommodation Guides                              ,Travel,
548, Travel , Accommodation Guides                                        ,Travel,
105, Finance , Accountancy                                                ,,
268, Science , Acoustics                                                  , Science ,
322, The Arts , Acting                                                    ,The Arts,
787, Medicine , Addiction                                                 , Medicine ,
166, Manufacturing , Adhesives                                            , Manufacturing ,
788, Medicine , Administration                                            , Medicine ,
835, Education , Adult, Education ,
198, Marketing , Advertising                                              , Marketing ,
167, Manufacturing , Aerospace                  , Manufacturing ,Engineering
620, Asia , Afghanistan                                                   ,,
765, Africa , Africa,,
332, Tourism & Travel , Africa                                            ,Travel,
549, Travel , Africa                                                      ,Travel,
828, Culture , African                                                    ,,,
798, Science , Agronomy                                                   , Science ,,
341, Transport & Freight , Air                                            ,Transport,Freight,
57, Defence & Intelligence , Air Defence,,,
342, Transport & Freight , Airports                                       ,Transport,Freight,
666, Europe , Albania                                                     ,,,
563, Africa , Algeria                                                     ,,,
715, Oceania , American Samoa                                             ,,,
437, Home Computing , Amiga Platform                                      ,Computing,,
161," Leisure, Entertainment & Gambling ", Amusements                       ,Industry,Gambling,
667, Europe , Andorra                                                     ,,,
789, Medicine , Anesthesiology                                            , Medicine ,,
564, Africa , Angola                                                      ,,,
168, Manufacturing , Animals, Manufacturing ,Feedstuffs,Milling
618, Antarctica , Antarctica                                              ,,,
295, Social Science , Anthropology                                        ,,,
801, The Arts , Antiques                                                  ,The Arts
414, Hobbies , Antiques                                                   ,
360, Culture , Arabic                                                     ,
98, Farming , Arable  Farming                                                 ,
800, Social Science , Archaeology                                         ,
498, Sport , Archery                                                      , Sport
38, Construction , Architecture                                          ,
741, The Americas , Argentina                                             ,
668, Europe , Armenia                                                     ,
770, Culture , Armenian                                                  ,
323, The Arts , Art                                                       ,The Arts
361, Culture , Art                                                        ,The Arts
790, Medicine , Arthritis                                                 , Medicine
386, Culture , The Arts, Television
766, Asia , Asia,
333, Tourism & Travel , Asia                                              ,Travel
550, Travel , Asia                                                        ,Travel,,,
393, Culture , Asian                                                      ,,,,
415, Hobbies , Astrology                                                  ,,,,
269, Science , Astronomy                                                  , Science ,,,
499, Sport , Athletics                                                    , Sport ,,,
5, Audio Visual Equipment , Audio,Visual ,Equipment,,
7, Audio Visual Equipment , Audio,Radio, Television,Visual ,Equipment
434, Home Audio Visual Equipment , Audio,Visual ,,,
106, Finance , Auditing                                                   ,,,,
716, Oceania , Australia                                                  ,,,,
